Country,Quarter,Year,Q,TP_NL,TP_L,ln_TP_NL,ln_TP_L,HICP,IR10Y,D_IFRS17
Spain,2022 Q1,2022,Q1,28104.383943,156090.985337,10.243680855359605,11.958194355553458,7.866666666666667,1.22,0
Spain,2022 Q2,2022,Q2,28707.846504,144375.36422400002,10.264925761733384,11.88017188301865,8.933333333333334,2.63,0
Spain,2022 Q3,2022,Q3,29078.766546,136244.34131299998,10.277763514860668,11.822205180015322,10.066666666666666,2.92,0
Spain,2022 Q4,2022,Q4,28470.399277999997,134147.35185500002,10.256620204690776,11.806694115480026,6.5,3.09,0
Spain,2023 Q1,2023,Q1,29925.665213,137856.183171,10.306471759519123,11.833966269787693,5.0,3.43,1
Spain,2023 Q2,2023,Q2,30882.641907999998,138466.854719,10.33794955449472,11.838386259860558,2.766666666666667,3.4,1
Spain,2023 Q3,2023,Q3,30909.290144,133847.541951,10.338812069608494,11.804456684573674,2.6,3.71,1
Spain,2023 Q4,2023,Q4,30941.250917999998,143153.895228,10.339845553755794,11.871675520969886,3.3666666666666667,3.12,1
Spain,2024 Q1,2024,Q1,31972.179455999998,143742.573298,10.372621411641454,11.875779293311053,3.233333333333333,3.19,1
Spain,2024 Q2,2024,Q2,32428.739343,141891.731045,10.386800325372795,11.86281958833532,3.6,3.35,1
Spain,2024 Q3,2024,Q3,33243.314988,146189.827944,10.411608972877657,11.892661247570842,2.3333333333333335,2.99,1
Spain,2024 Q4,2024,Q4,33151.701333000005,146017.86897100002,10.40884931655951,11.891484283413732,2.3333333333333335,2.89,1
Spain,2025 Q1,2025,Q1,34533.930175,143667.24732300002,10.449697603049906,11.875255122101024,2.6666666666666665,3.391,1
Spain,2025 Q2,2025,Q2,35462.814606,147240.390768,10.476239950589916,11.899821841442167,2.1666666666666665,3.16,1
Spain,2025 Q3,2025,Q3,35534.401794000005,147550.13322000002,10.478256570843232,11.901923283251058,2.8000000000000003,3.26,1
